iter	Passed	Remaining
0	665	665269
1	667	332990
2	668	222165
3	669	166748
4	672	133737
5	673	111543
6	674	95700
7	675	83806
8	677	74581
9	678	67181
10	679	61116
11	680	56059
12	681	51776
13	683	48109
14	684	44930
15	686	42201
16	687	39746
17	688	37562
18	689	35606
19	690	33851
20	691	32259
21	693	30809
22	694	29488
23	695	28278
24	696	27163
25	697	26131
26	699	25189
27	700	24327
28	701	23503
29	703	22736
30	704	22017
31	705	21339
32	706	20704
33	707	20106
34	708	19541
35	709	19009
36	710	18504
37	712	18027
38	714	17602
39	715	17175
40	716	16764
41	718	16377
42	719	16004
43	720	15647
44	721	15306
45	722	14980
46	723	14668
47	724	14368
48	725	14081
49	728	13833
50	729	13570
51	730	13316
52	731	13072
53	732	12836
54	733	12608
55	735	12393
56	736	12181
57	737	11976
58	738	11778
59	739	11586
60	740	11400
61	742	11237
62	744	11066
63	745	10899
64	746	10736
65	747	10577
66	748	10424
67	749	10274
68	750	10129
69	751	9988
70	752	9851
71	753	9717
72	755	9588
73	757	9484
74	759	9361
75	760	9241
76	761	9124
77	762	9012
78	763	8901
79	764	8792
80	765	8686
81	766	8583
82	767	8476
83	768	8378
84	769	8282
85	771	8204
86	773	8117
87	775	8034
88	776	7949
89	778	7869
90	779	7787
91	780	7707
92	783	7637
93	784	7559
94	785	7482
95	787	7413
96	788	7337
97	789	7263
98	790	7190
99	791	7119
100	792	7050
101	793	6982
102	793	6914
103	794	6846
104	795	6781
105	796	6716
106	797	6653
107	798	6591
108	798	6529
109	799	6469
110	801	6417
111	802	6362
112	803	6306
113	804	6251
114	805	6197
115	806	6143
116	806	6088
117	807	6036
118	808	5985
119	809	5934
120	810	5884
121	810	5834
122	811	5786
123	812	5738
124	813	5692
125	814	5646
126	814	5600
127	816	5564
128	817	5520
129	818	5477
130	819	5436
131	820	5394
132	821	5353
133	822	5312
134	822	5272
135	823	5232
136	824	5193
137	825	5154
138	826	5118
139	827	5081
140	828	5044
141	828	5007
142	829	4972
143	831	4942
144	832	4908
145	833	4874
146	834	4840
147	834	4806
148	835	4772
149	836	4740
150	837	4707
151	838	4676
152	838	4644
153	839	4613
154	840	4582
155	841	4552
156	842	4522
157	843	4493
158	843	4463
159	844	4435
160	846	4409
161	847	4382
162	848	4354
163	848	4327
164	849	4300
165	850	4273
166	851	4246
167	852	4220
168	853	4194
169	853	4168
170	854	4143
171	855	4118
172	856	4093
173	857	4069
174	857	4044
175	858	4020
176	860	4002
177	861	3980
178	862	3957
179	863	3935
180	864	3913
181	865	3892
182	867	3870
183	867	3848
184	868	3826
185	869	3804
186	870	3783
187	871	3762
188	871	3740
189	872	3720
190	873	3699
191	874	3680
192	876	3663
193	876	3643
194	877	3624
195	878	3604
196	879	3585
197	880	3566
198	881	3547
199	882	3528
200	882	3509
201	883	3490
202	884	3472
203	885	3454
204	886	3436
205	887	3419
206	887	3401
207	888	3383
208	890	3370
209	891	3353
210	892	3336
211	893	3320
212	894	3303
213	894	3286
214	895	3270
215	896	3254
216	897	3238
217	898	3221
218	898	3205
219	899	3189
220	900	3174
221	901	3158
222	902	3143
223	902	3128
224	903	3112
225	905	3101
226	906	3087
227	907	3072
228	908	3057
229	909	3043
230	909	3029
231	910	3014
232	911	3000
233	912	2986
234	913	2972
235	913	2958
236	914	2945
237	915	2931
238	916	2918
239	917	2904
240	918	2891
241	920	2881
242	920	2868
243	921	2856
244	922	2843
245	923	2830
246	924	2817
247	925	2805
248	925	2792
249	926	2780
250	927	2767
251	928	2755
252	929	2743
253	930	2731
254	930	2719
255	931	2707
256	932	2695
257	933	2684
258	935	2675
259	936	2664
260	936	2652
261	937	2641
262	938	2630
263	939	2618
264	940	2608
265	941	2596
266	941	2585
267	942	2574
268	943	2563
269	944	2553
270	945	2542
271	945	2531
272	946	2521
273	947	2510
274	948	2500
275	949	2490
276	950	2480
277	951	2470
278	952	2460
279	952	2450
280	953	2440
281	954	2430
282	955	2420
283	956	2410
284	956	2400
285	957	2390
286	958	2381
287	959	2371
288	960	2362
289	961	2353
290	962	2344
291	963	2336
292	964	2328
293	965	2319
294	966	2310
295	968	2302
296	969	2293
297	969	2284
298	970	2276
299	971	2267
300	972	2258
301	973	2249
302	974	2240
303	974	2232
304	975	2223
305	976	2215
306	978	2208
307	979	2200
308	980	2191
309	981	2183
310	981	2175
311	982	2166
312	983	2158
313	984	2150
314	985	2142
315	986	2134
316	986	2126
317	987	2118
318	988	2110
319	989	2102
320	990	2094
321	990	2086
322	991	2078
323	993	2072
324	994	2065
325	995	2057
326	996	2050
327	997	2042
328	997	2035
329	998	2027
330	999	2020
331	1000	2012
332	1001	2005
333	1001	1997
334	1002	1990
335	1003	1983
336	1004	1975
337	1005	1968
338	1005	1961
339	1007	1956
340	1008	1949
341	1009	1942
342	1010	1935
343	1011	1928
344	1011	1921
345	1012	1914
346	1013	1907
347	1014	1900
348	1015	1893
349	1015	1886
350	1016	1880
351	1017	1873
352	1018	1866
353	1019	1860
354	1020	1853
355	1020	1846
356	1022	1842
357	1023	1836
358	1024	1829
359	1025	1823
360	1026	1816
361	1027	1810
362	1027	1803
363	1028	1797
364	1029	1791
365	1030	1784
366	1031	1778
367	1032	1772
368	1032	1766
369	1033	1760
370	1034	1753
371	1035	1747
372	1036	1741
373	1038	1737
374	1038	1731
375	1039	1725
376	1040	1719
377	1041	1713
378	1042	1707
379	1042	1701
380	1043	1695
381	1044	1689
382	1045	1684
383	1046	1678
384	1046	1672
385	1047	1666
386	1048	1661
387	1049	1655
388	1050	1649
389	1052	1646
390	1053	1640
391	1054	1635
392	1055	1630
393	1056	1625
394	1058	1620
395	1058	1615
396	1059	1609
397	1060	1604
398	1061	1598
399	1062	1593
400	1063	1588
401	1064	1582
402	1064	1577
403	1065	1572
404	1067	1568
405	1068	1562
406	1068	1557
407	1069	1552
408	1070	1546
409	1071	1541
410	1072	1536
411	1073	1531
412	1073	1526
413	1074	1521
414	1075	1516
415	1076	1510
416	1077	1505
417	1078	1501
418	1078	1496
419	1079	1491
420	1080	1486
421	1082	1482
